B15M2D2T2,Video_20240823204456512.avi,T00:14:00.895,25234,,A+E,0,1
B15M2D2T3,Video_20240823204456512.avi,T00:17:07.335,30829,,A+E,0,1
B15M2D2T4,Video_20240823204456512.avi,T00:19:02.897,34297,,A+E,0,1
B15M2D2T5,Video_20240823204456512.avi,T00:21:04.491,37946,,A+E,0,1
B15M2D2T6,Video_20240823204456512.avi,T00:24:25.260,43971,,F+E,0,1
B15M2D2T7,Video_20240823204456512.avi,T00:26:50.313,48324,,A+E,0,1
B15M2D2T8,Video_20240823204456512.avi,T00:28:25.149,51170,,E,0,1
B15M2D2T9,Video_20240823204456512.avi,T00:35:42.341,64290,,A+E,0,1
B15M2D2T10,Video_20240823204456512.avi,T00:38:20.457,69035,,F,0,1
B15M1D2T1,Video_20240823213821672.avi,T00:10:26.633,18798,F,,1,0
B15M1D2T2,Video_20240823213821672.avi,T00:13:20.966,24028,F,,1,0
B15M1D2T3,Video_20240823213821672.avi,T00:15:11.266,27337,A+E,,1,0
B15M1D2T4,Video_20240823213821672.avi,T00:18:09.033,32670,A+E,,1,0
B15M1D2T5,Video_20240823213821672.avi,T00:21:54.233,39426,E,,1,0
B15M1D2T6,Video_20240823213821672.avi,T00:25:07.100,45213,E,,1,0
B15M1D2T7,Video_20240823213821672.avi,T00:27:58.233,50346,E,,1,0
B15M1D2T8,Video_20240823213821672.avi,T00:29:29.233,53076,A+E,,1,0
B16M2D2T1,Video_20240823223246767.avi,T00:10:09.433,18282,,A+E,0,1
B16M2D2T2,Video_20240823223246767.avi,T00:14:13.833,25614,,N,0,1
B16M2D2T3,Video_20240823223246767.avi,T00:15:58.633,28758,,A+E,0,1
B16M2D2T4,Video_20240823223246767.avi,T00:18:35.100,33453,,F,0,1
B16M2D2T5,Video_20240823223246767.avi,T00:19:53.000,35790,,A+E,0,1
B16M2D2T6,Video_20240823223246767.avi,T00:23:10.833,41724,,E,0,1
B16M2D2T7,Video_20240823223246767.avi,T00:28:58.600,52158,,A,0,1
B16M2D2T8,Video_20240823223246767.avi,T00:38:25.433,69162,,F+E,0,1
