B_id,rank,mouse_id,nest_baseline,edge_baseline,center_baseline,nest_0-5s,edge_0-5s,center_0-5s,nest_5-20s,edge_5-20s,center_5-20s,nest_20-60s,edge_20-60s,center_20-60s
B5,Sub,B5M2(S),4.458130283397872,6.889973726446926,15.705389090584474,6.834989181455619,8.49511327483231,14.801729176649236,4.542115067191832,5.359956077026431,19.137048523689963,4.482714924844473,4.577225626637022,16.469018133970277
B6,Sub,B6M2(S),5.894260594486897,6.130097541216043,8.788750026713867,5.435594368331766,9.707939321535061,15.778398447102909,3.983807191660334,5.005639144275709,18.317857687936016,5.741872451786308,5.75414781676091,12.26391792293145
B7,Sub,B7M1(S),4.981685111024641,6.000632828271114,14.050897716027524,,4.730707952770104,8.743749817442358,7.444562350402258,5.781188907113957,23.487576175530545,4.8329419397239395,6.019994891103502,8.944701036370088
B8,Sub,B8M2(S),4.751982936353859,6.1739971962022215,10.615142764136301,6.02240380562444,23.92215896787767,13.717126681272926,3.173098181779809,5.315898123876687,10.666701942710265,7.4332074709096645,4.749111904419298,8.815837405761144
B9,Sub,B9M2(S),8.719231307668698,8.922796251877973,14.408491235155182,6.284761308943475,29.789991754921857,26.553889587949165,6.385923935833014,5.4245063387701276,11.660153768780347,6.708253335825838,6.801160009462869,13.745746978935315
B10,Sub,B10M1(S),5.660495823000995,7.9579761165568845,9.913811551250085,6.037022712105215,57.28367532520434,31.297915980642234,1.8696816566448924,,,4.64777296872221,6.98906406490794,23.326442324008685
B11,Sub,B11M1(S),5.483968927998206,7.921823257158903,10.630570139735372,5.310413838218419,9.304042657756085,10.742845725450909,5.428499375100236,5.128318180530541,10.432750527636312,5.636921469141837,6.60040410423931,13.23513348380755
B12,Sub,B12M1(S),8.538790394688371,3.981908595072045,10.301100849440072,,6.87324255215025,13.085528622617048,7.917665511828549,6.4297172667539595,12.429700890408157,4.939953536977751,3.402749206801155,13.447429886583155
B13,Sub,B13M1(S),5.490786869570568,4.626362440200248,8.42996356905262,,9.179766399858218,7.68620447467363,10.891774868803616,6.509212393136806,6.353709721185698,3.9342598015005366,5.141969191352787,8.898655880121863
B14,Sub,B14M1(S),6.872002193244043,5.929435459297588,10.045935069579382,5.834976152531372,8.168085090574692,9.54565879880953,7.904489293452926,6.468803578350416,14.22194688354845,7.630200977258982,5.229625559250865,9.184956187482538
B15,Sub,B15M1(S),5.985173597241324,7.926215768707224,13.55054221627502,7.561791550594004,27.724369076170387,28.94580926554951,3.861171603301634,8.558277775997924,15.656468097890349,4.154959678880585,6.485711896997628,15.94221449762849
B16,Sub,B16M1(S),6.164734388944212,6.914310942832415,12.183284435595677,5.233078772815468,,32.359918843096146,3.61785125188012,8.303898733806289,6.333334875803741,5.230997257230767,8.256807346897608,9.790612247937121
B17,Sub,B17M1(S),5.915680313289663,4.482004102300726,9.985108725830585,4.883061225523979,47.15385231590635,33.764261946446375,3.5017089710015745,,,6.359542359441088,14.4536590676814,11.305595940402082
