group,trial_id,timepoint,before,after,difference
random,D11MS,5428.0,1.0,1.0,0.0
random,D3MD,2938.0,0.13333333333333333,0.26666666666666666,-0.13333333333333333
random,D10MS,6671.0,1.0,1.0,0.0
random,D11MS,2693.0,0.5333333333333333,1.0,-0.4666666666666667
random,D6MD,2580.0,1.0,1.0,0.0
random,D2MS,1462.0,0.23333333333333334,1.0,-0.7666666666666666
random,D11MD,198.0,1.0,1.0,0.0
random,D11MS,2795.0,1.0,1.0,0.0
random,D6MS,4588.0,0.6,1.0,-0.4
random,D6MS,2220.0,0.1,1.0,-0.9
random,D3MS,7389.0,0.9,1.0,-0.09999999999999998
random,D4MS,3150.0,1.0,1.0,0.0
random,D10MS,7445.0,1.0,1.0,0.0
random,D6MS,4567.0,1.0,1.0,0.0
random,D10MS,8362.0,1.0,1.0,0.0
random,D6MS,6801.0,1.0,1.0,0.0
random,D2MS,2568.0,0.13333333333333333,1.0,-0.8666666666666667
random,D11MS,6429.0,1.0,1.0,0.0
random,D4MD,6568.0,0.6,1.0,-0.4
random,D10MS,6464.0,1.0,0.5666666666666667,0.43333333333333335
random,D10MS,4920.0,0.26666666666666666,0.5666666666666667,-0.3
random,D4MD,7505.0,1.0,1.0,0.0
random,D11MS,2713.0,1.0,1.0,0.0
random,D6MS,1480.0,1.0,1.0,0.0
random,D4MS,5190.0,0.3333333333333333,0.43333333333333335,-0.10000000000000003
random,D4MS,6085.0,1.0,0.7333333333333333,0.2666666666666667
random,D10MS,7288.0,1.0,1.0,0.0
random,D6MS,4555.0,0.9333333333333333,1.0,-0.06666666666666665
random,D6MS,2330.0,1.0,1.0,0.0
random,D1MS,3908.0,0.3,0.9333333333333333,-0.6333333333333333
random,D10MS,6450.0,1.0,1.0,0.0
random,D3MD,4567.0,0.6333333333333333,1.0,-0.3666666666666667
random,D1MS,1334.0,0.6,0.0,0.6
random,D7MS,6349.0,0.9666666666666667,0.0,0.9666666666666667
random,D6MD,3516.0,0.16666666666666666,1.0,-0.8333333333333334
random,D6MS,4372.0,1.0,1.0,0.0
random,D4MD,1992.0,0.3333333333333333,0.8,-0.46666666666666673
random,D6MS,4736.0,1.0,1.0,0.0
random,D10MS,7194.0,1.0,1.0,0.0
random,D3MS,988.0,0.8666666666666667,0.23333333333333334,0.6333333333333333
random,D11MD,6856.0,0.2,1.0,-0.8
random,D3MS,6743.0,1.0,1.0,0.0
random,D10MS,687.0,0.36666666666666664,0.9666666666666667,-0.6000000000000001
random,D11MS,2785.0,1.0,1.0,0.0
random,D4MD,8240.0,1.0,1.0,0.0
random,D2MD,3861.0,1.0,1.0,0.0
random,D2MS,8273.0,1.0,1.0,0.0
random,D4MD,4732.0,1.0,0.0,1.0
random,D6MD,1125.0,0.4,0.4666666666666667,-0.06666666666666665
random,D11MS,3483.0,1.0,1.0,0.0
random,D10MS,8450.0,1.0,1.0,0.0
random,D4MD,1840.0,0.36666666666666664,0.8,-0.4333333333333334
random,D7MS,7131.0,0.3333333333333333,0.3,0.033333333333333326
random,D4MD,6697.0,1.0,0.4666666666666667,0.5333333333333333
random,D11MS,8867.0,0.3333333333333333,1.0,-0.6666666666666667
random,D7MD,5147.0,0.4666666666666667,0.1,0.3666666666666667
random,D8MD,1849.0,0.03333333333333333,0.3333333333333333,-0.3
random,D2MS,5016.0,0.5,0.7,-0.19999999999999996
random,D6MS,3932.0,1.0,1.0,0.0
random,D11MS,4376.0,0.43333333333333335,0.0,0.43333333333333335
random,D6MS,4753.0,1.0,1.0,0.0
random,D10MS,5682.0,0.8666666666666667,1.0,-0.1333333333333333
random,D4MD,6865.0,1.0,1.0,0.0
random,D4MS,2024.0,1.0,1.0,0.0
random,D7MS,5839.0,0.4666666666666667,0.0,0.4666666666666667
random,D4MD,4601.0,1.0,0.8666666666666667,0.1333333333333333
random,D2MS,8547.0,1.0,0.5333333333333333,0.4666666666666667
random,D3MS,5835.0,1.0,0.7333333333333333,0.2666666666666667
random,D2MD,6566.0,0.8666666666666667,1.0,-0.1333333333333333
random,D11MS,6475.0,1.0,0.7333333333333333,0.2666666666666667
